Ankomsttid;Passasjerer
04:50:00;23
05:20:00;9
05:50:00;6
06:20:00;15
06:50:00;39
07:05:00;25
07:20:00;7
07:35:00;24
07:50:00;28
08:05:00;13
08:20:00;15
08:35:00;39
08:50:00;34
09:05:00;23
09:20:00;6
09:35:00;17
09:50:00;11
10:05:00;40
10:20:00;32
10:50:00;26
11:20:00;5
11:50:00;31
12:20:00;13
12:50:00;5
13:20:00;11
13:50:00;14
14:20:00;36
14:50:00;34
15:05:00;37
15:20:00;5
15:35:00;14
15:50:00;6
16:05:00;30
16:20:00;12
16:35:00;17
16:50:00;37
17:05:00;14
17:20:00;34
17:35:00;8
17:50:00;11
18:05:00;25
18:20:00;8
18:35:00;12
18:50:00;22
19:05:00;14
19:20:00;29
19:35:00;26
19:50:00;14
20:05:00;33
20:20:00;5
20:35:00;19
20:50:00;7
21:05:00;36
21:20:00;8
21:35:00;28
21:50:00;39
22:05:00;6
22:20:00;8
22:35:00;23
22:50:00;35
23:05:00;15
23:20:00;20
23:35:00;32
23:50:00;32
00:05:00;7
00:20:00;9
00:35:00;34
00:50:00;26
04:24:00;8
04:44:00;37
05:04:00;13
05:24:00;7
05:44:00;40
06:04:00;32
06:24:00;37
06:44:00;8
07:04:00;40
07:24:00;16
07:44:00;22
08:04:00;17
08:24:00;38
08:44:00;25
09:04:00;12
09:24:00;32
09:44:00;6
10:04:00;6
10:24:00;28
10:44:00;20
11:04:00;19
11:24:00;20
11:44:00;31
12:04:00;33
12:24:00;15
12:44:00;5
13:04:00;21
13:24:00;25
13:44:00;31
14:04:00;22
14:24:00;9
14:44:00;20
15:04:00;5
15:24:00;22
15:44:00;38
16:04:00;16
16:24:00;12
16:44:00;19
17:04:00;11
17:24:00;39
17:44:00;6
18:04:00;26
18:24:00;37
18:44:00;29
19:04:00;29
19:24:00;39
19:44:00;33
20:04:00;22
20:24:00;19
20:44:00;22
21:04:00;37
21:24:00;10
21:44:00;21
22:04:00;22
22:24:00;6
22:44:00;32
23:04:00;20
23:24:00;17
23:44:00;12
00:04:00;25
04:15:00;40
04:35:00;9
04:55:00;37
05:15:00;16
05:35:00;23
05:55:00;28
06:15:00;28
06:35:00;18
06:55:00;15
07:15:00;10
07:35:00;26
07:55:00;37
08:15:00;12
08:35:00;5
08:55:00;31
09:15:00;12
09:35:00;25
09:55:00;15
10:15:00;28
10:35:00;20
10:55:00;23
11:15:00;25
11:35:00;7
11:55:00;30
12:15:00;8
12:35:00;40
12:55:00;35
13:15:00;32
13:35:00;22
13:55:00;31
14:15:00;38
14:35:00;8
14:55:00;34
15:15:00;7
15:35:00;28
15:55:00;15
16:15:00;33
16:35:00;36
16:55:00;38
17:15:00;32
17:35:00;5
17:55:00;35
18:15:00;26
18:35:00;7
18:55:00;19
19:15:00;19
19:35:00;5
19:55:00;15
20:15:00;30
20:35:00;19
20:55:00;13
21:15:00;11
21:35:00;11
21:55:00;34
22:15:00;15
22:35:00;36
22:55:00;14
23:15:00;21
23:35:00;35
23:55:00;19
00:15:00;15
00:35:00;17
00:55:00;22
04:23:00;29
04:53:00;11
05:23:00;21
05:53:00;34
06:23:00;22
06:53:00;12
07:23:00;12
07:38:00;16
07:53:00;16
08:08:00;6
08:23:00;16
08:38:00;40
08:53:00;27
09:08:00;39
09:23:00;34
09:38:00;27
09:53:00;33
10:08:00;36
10:23:00;37
10:53:00;23
11:23:00;38
11:53:00;20
12:23:00;18
12:53:00;13
13:23:00;21
13:53:00;21
14:23:00;6
14:53:00;29
15:08:00;23
15:23:00;23
15:38:00;26
15:53:00;18
16:08:00;39
16:23:00;36
16:38:00;26
16:53:00;35
17:08:00;7
17:23:00;6
17:38:00;15
17:53:00;17
18:23:00;32
18:53:00;26
19:23:00;18
19:53:00;15
20:23:00;12
20:53:00;6
21:23:00;18
21:53:00;39
22:23:00;27
22:53:00;34
23:23:00;22
23:53:00;22
00:23:00;18
00:53:00;6
