Ankomst;Passasjerer
05:02:00;223
05:22:00;242
05:42:00;142
06:02:00;187
06:22:00;71
06:42:00;68
07:02:00;137
07:22:00;227
07:42:00;75
08:02:00;102
08:22:00;124
08:42:00;243
09:02:00;246
09:22:00;57
09:42:00;107
10:02:00;114
10:22:00;134
10:42:00;81
11:02:00;230
11:22:00;75
11:42:00;202
12:02:00;44
12:09:00;95
12:22:00;197
12:29:00;94
12:42:00;146
12:49:00;183
13:02:00;65
13:09:00;109
13:22:00;136
13:29:00;140
13:42:00;178
13:49:00;65
14:02:00;241
14:09:00;32
14:22:00;183
14:29:00;91
14:42:00;179
14:49:00;189
15:02:00;111
15:09:00;148
15:22:00;240
15:29:00;227
15:42:00;249
15:49:00;188
16:02:00;74
16:09:00;228
16:22:00;181
16:29:00;165
16:42:00;191
16:49:00;152
17:02:00;163
17:09:00;177
17:22:00;235
17:29:00;241
17:42:00;140
17:49:00;83
18:02:00;121
18:09:00;51
18:22:00;240
18:29:00;233
18:42:00;132
18:49:00;100
19:02:00;137
19:09:00;197
19:22:00;168
19:29:00;51
19:42:00;220
19:49:00;79
20:02:00;64
20:09:00;101
20:22:00;150
20:29:00;130
20:42:00;194
20:49:00;209
21:02:00;44
21:09:00;30
21:22:00;238
21:29:00;55
21:42:00;183
21:49:00;124
22:02:00;88
22:09:00;75
22:22:00;192
22:29:00;152
22:42:00;85
22:49:00;107
23:02:00;45
23:09:00;133
23:22:00;129
23:29:00;90
23:42:00;152
00:02:00;159
00:22:00;120
