Arrival: S55 Monday-Friday,Passengers
04:15:00,17
04:35:00,35
04:55:00,25
05:15:00,33
05:35:00,35
05:55:00,32
06:15:00,19
06:35:00,23
06:55:00,10
07:15:00,38
07:35:00,39
07:55:00,14
08:15:00,20
08:35:00,14
08:55:00,7
09:15:00,35
09:35:00,37
09:55:00,14
10:15:00,10
10:35:00,19
10:55:00,15
11:15:00,39
11:35:00,6
11:55:00,14
12:15:00,23
12:35:00,7
12:55:00,29
13:15:00,32
13:35:00,31
13:55:00,40
14:15:00,20
14:35:00,25
14:55:00,22
15:15:00,13
15:35:00,8
15:55:00,18
16:15:00,8
16:35:00,31
16:55:00,21
17:15:00,23
17:35:00,7
17:55:00,17
18:15:00,12
18:35:00,38
18:55:00,35
19:15:00,37
19:35:00,37
19:55:00,8
20:15:00,36
20:35:00,26
20:55:00,37
21:15:00,14
21:35:00,40
21:55:00,29
22:15:00,30
22:35:00,26
22:55:00,40
23:15:00,22
23:35:00,37
23:55:00,38
00:15:00,36
00:35:00,33
00:55:00,33
