Ankomsttid Loerdag,Passasjerer
07:19:00,49
08:19:00,100
09:19:00,174
10:19:00,85
11:19:00,101
12:19:00,35
13:19:00,72
14:19:00,169
15:19:00,87
16:19:00,135
17:19:00,36
18:19:00,41
19:19:00,28
20:19:00,39
21:19:00,197
22:19:00,182
23:19:00,146
00:19:00,162
06:43:00,127
07:43:00,127
08:43:00,88
09:43:00,200
10:43:00,118
11:43:00,16
12:43:00,59
13:43:00,125
14:43:00,189
15:43:00,183
16:43:00,152
17:43:00,49
18:43:00,144
19:43:00,37
20:43:00,70
21:43:00,193
22:43:00,73
23:43:00,50
07:49:00,102
07:59:00,153
08:49:00,44
08:59:00,186
09:49:00,40
09:59:00,73
10:49:00,191
10:59:00,176
11:49:00,57
11:59:00,63
12:49:00,23
12:59:00,20
13:49:00,77
13:59:00,53
14:49:00,60
14:59:00,141
15:49:00,179
15:59:00,129
16:49:00,85
16:59:00,73
17:49:00,130
17:59:00,80
18:49:00,18
19:49:00,16
19:59:00,14
20:49:00,21
21:59:00,123
22:49:00,107
23:59:00,75
00:49:00,185
07:03:00,140
07:13:00,83
08:03:00,59
08:13:00,86
09:03:00,105
09:13:00,64
10:03:00,156
10:13:00,116
11:03:00,78
11:13:00,165
12:03:00,180
12:13:00,177
13:03:00,21
13:13:00,190
14:03:00,97
14:13:00,119
15:03:00,165
15:13:00,128
16:03:00,66
16:13:00,180
17:03:00,69
17:13:00,89
18:03:00,158
18:13:00,179
19:03:00,73
19:13:00,100
20:03:00,54
20:13:00,23
21:03:00,15
21:13:00,84
22:03:00,184
22:13:00,107
23:03:00,85
23:13:00,145
00:03:00,132
00:13:00,136
01:03:00,40
01:13:00,17
02:03:00,116
02:13:00,116
03:03:00,116
03:13:00,142
04:03:00,109
04:13:00,129
05:03:00,40
05:13:00,74
06:03:00,123
06:13:00,169
07:03:00,187
07:13:00,115
08:03:00,53
08:13:00,178
09:03:00,38
09:13:00,171
10:03:00,179
10:13:00,183
11:03:00,146
11:13:00,176
12:03:00,189
12:13:00,182
13:03:00,189
13:13:00,47
14:03:00,142
14:13:00,159
15:03:00,108
15:13:00,164
16:03:00,95
16:13:00,112
17:03:00,13
17:13:00,156
18:03:00,166
18:13:00,22
19:03:00,109
19:13:00,106
21:03:00,171
21:13:00,139
23:03:00,117
23:13:00,143
14:32:00,195
20:33:00,46
